"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Área de atuação (Função)";"Programa de Governo";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160254 - 1 BATALHAO DE INFANTARIA MOTORIZADO (ES)";"12 - Educação";"00 - NAO ATRIBUIDO";"4.674,78";"0,00";"0,00";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160173 - 31º BATALHÃO DE INFANTARIA MOTORIZADO";"12 - Educação";"00 - NAO ATRIBUIDO";"14.151,99";"0,00";"0,00";"0,00";
"08/2019";"25000 - Ministério da Economia";"25000 - Ministério da Economia - Unidades com vínculo direto";"201057 - CENTRAL DE COMPRAS E CONTRATACOES - CENTRAL";"12 - Educação";"00 - NAO ATRIBUIDO";"0,00";"14.608,00";"14.608,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250033 - NUCLEO ESTADUAL DO MS/RS";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"61.347,51";"36.768,08";"0,00";
"08/2019";"25000 - Ministério da Economia";"20202 - Fundação Escola Nacional de Administração Pública";"114702 - FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA";"01 - Legislativa";"00 - NAO ATRIBUIDO";"0,00";"31.724,94";"31.724,94";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250037 - NUCLEO ESTADUAL DO MS-SP";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"67.899,33";"54.025,07";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160198 - 7.DEPOSITO DE SUPRIMENTO";"12 - Educação";"00 - NAO ATRIBUIDO";"21.695,95";"0,00";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250031 - NUCLEO ESTADUAL DO MS/RJ";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"278.286,16";"292.108,52";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160454 - 28 BATALHAO DE CACADORES";"12 - Educação";"00 - NAO ATRIBUIDO";"8.975,12";"0,00";"0,00";"0,00";
"08/2019";"55000 - Ministério da Cidadania";"55000 - Ministério da Cidadania - Unidades com vínculo direto";"420006 - SECRETARIA DO AUDIOVISUAL/MINC";"13 - Cultura";"00 - NAO ATRIBUIDO";"278.586,90";"0,00";"0,00";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160027 - 4º BATALHÃO DE ENGENHARIA DE CONSTRUÇÃO";"12 - Educação";"00 - NAO ATRIBUIDO";"117.791,84";"0,00";"0,00";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160004 - 59  BATALHAO DE INFANTARIA MOTORIZADO";"12 - Educação";"00 - NAO ATRIBUIDO";"17.551,89";"0,00";"0,00";"0,00";
"08/2019";"22000 - Ministério da Agricultura, Pecuária e Abastecimento";"22000 - Ministério da Agricultura, Pecuária e Abastecimento - Unidades com vínculo direto";"130234 - SECRETARIA DE AGRIC. FAM.E COOPERATIVIS/CEF";"21 - Organização agrária";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"0,00";
"08/2019";"36000 - Ministério da Saúde";"36000 - Ministério da Saúde - Unidades com vínculo direto";"250030 - NUCLEO ESTADUAL DO MS/PI";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"26.952,38";"26.952,38";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160411 - 7 BATALHAO DE INFANTARIA BLINDADO";"12 - Educação";"00 - NAO ATRIBUIDO";"4.500,00";"0,00";"0,00";"0,00";
"08/2019";"25000 - Ministério da Economia";"25915 - Fundo Constitucional do Distrito Federal";"170484 - FCDF-PMDF-DEPARTAMENTO DE GESTÃO DE PESSOAL";"04 - Administração";"00 - NAO ATRIBUIDO";"37.668.069,15";"37.652.156,50";"37.951.017,04";"0,00";
"08/2019";"20000 - Presidência da República";"20116 - Fundo de Imprensa Nacional";"110245 - FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.";"04 - Administração";"00 - NAO ATRIBUIDO";"0,00";"3.523,61";"3.523,61";"0,00";
"08/2019";"52000 - Ministério da Defesa";"52000 - Ministério da Defesa - Unidades com vínculo direto";"110402 - ESCOLA SUPERIOR DE GUERRA";"05 - Defesa nacional";"00 - NAO ATRIBUIDO";"8.887,05";"8.887,05";"8.887,05";"0,00";
"08/2019";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações";"24000 - Ministério da Ciência, Tecnologia, Inovações e Comunicações - Unidades com vínculo direto";"240101 - COORDENACAO-GERAL DE RECURSOS LOGISTICOS";"19 - Ciência e Tecnologia";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"101.319,34";
"08/2019";"26000 - Ministério da Educação";"26274 - Fundação Universidade Federal de Uberlândia ";"154043 - FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA";"12 - Educação";"00 - NAO ATRIBUIDO";"1.902,10";"1.902,10";"0,00";"0,00";
"08/2019";"26000 - Ministério da Educação";"26242 - Universidade Federal de Pernambuco ";"153094 - HOSPITAL DAS CLINICAS - UFPE";"10 - Saúde";"00 - NAO ATRIBUIDO";"0,00";"0,00";"0,00";"572,00";
"08/2019";"52000 - Ministério da Defesa";"52121 - Comando do Exército";"160204 - 25º BATALHÃO DE CAÇADORES";"12 - Educação";"00 - NAO ATRIBUIDO";"9.245,15";"0,00";"0,00";"0,00";
